,INC_TOT_VALUE,INC_MAL_VALUE,INC_FEM_VALUE,year,district,rent,mean_rent,fem_ratio,mal_ratio,tot_ratio
0,18.217,20.709,15.424,2002.0,0.0,,,,,
1,25.463,31.961,18.536,2002.0,901.0,,,,,
2,16.439,18.301,14.282,2002.0,902.0,,,,,
3,18.701,21.444,15.804,2002.0,903.0,,,,,
4,20.325,23.641,16.876,2002.0,904.0,,,,,
5,16.258,17.937,14.395,2002.0,905.0,,,,,
6,18.724,21.26,16.069,2002.0,906.0,,,,,
7,18.429,21.129,15.725,2002.0,907.0,,,,,
8,20.108,23.342,16.931,2002.0,908.0,,,,,
9,19.106,22.183,16.031,2002.0,909.0,,,,,
10,16.707,18.657,14.478,2002.0,910.0,,,,,
11,16.742,18.883,14.296,2002.0,911.0,,,,,
12,16.95,18.884,14.794,2002.0,912.0,,,,,
13,23.914,29.951,17.877,2002.0,913.0,,,,,
14,19.511,22.571,16.3,2002.0,914.0,,,,,
15,14.999,16.355,13.439,2002.0,915.0,,,,,
16,16.33,18.004,14.465,2002.0,916.0,,,,,
17,17.604,20.022,14.96,2002.0,917.0,,,,,
18,20.413,24.325,16.466,2002.0,918.0,,,,,
19,22.469,27.605,17.113,2002.0,919.0,,,,,
20,15.696,17.143,13.986,2002.0,920.0,,,,,
21,17.977,20.611,15.081,2002.0,921.0,,,,,
22,18.915,22.016,15.577,2002.0,922.0,,,,,
23,20.799,24.849,16.511,2002.0,923.0,,,,,
24,18.337,20.845,15.526,2003.0,0.0,,,,,
25,26.571,33.764,18.907,2003.0,901.0,,,,,
26,16.549,18.296,14.478,2003.0,902.0,,,,,
27,18.94,21.523,16.15,2003.0,903.0,,,,,
28,20.73,24.031,17.256,2003.0,904.0,,,,,
29,16.402,17.976,14.633,2003.0,905.0,,,,,
30,19.059,21.46,16.449,2003.0,906.0,,,,,
31,18.941,21.49,16.388,2003.0,907.0,,,,,
32,20.345,23.644,17.106,2003.0,908.0,,,,,
33,19.141,21.776,16.336,2003.0,909.0,,,,,
34,16.792,18.586,14.669,2003.0,910.0,,,,,
35,16.838,18.937,14.403,2003.0,911.0,,,,,
36,16.999,18.834,14.895,2003.0,912.0,,,,,
37,24.149,29.8,18.22,2003.0,913.0,,,,,
38,19.613,22.46,16.534,2003.0,914.0,,,,,
39,14.998,16.321,13.415,2003.0,915.0,,,,,
40,16.434,17.991,14.593,2003.0,916.0,,,,,
41,17.713,19.906,15.215,2003.0,917.0,,,,,
42,20.614,24.511,16.593,2003.0,918.0,,,,,
43,22.458,27.421,17.292,2003.0,919.0,,,,,
44,15.705,17.018,14.096,2003.0,920.0,,,,,
45,18.071,20.582,15.264,2003.0,921.0,,,,,
46,19.091,22.105,15.075,2003.0,922.0,,,,,
47,20.869,24.792,16.651,2003.0,923.0,,,,,
48,18.489,21.033,15.684,2004.0,0.0,,,,,
49,26.854,33.77,19.483,2004.0,901.0,,,,,
50,16.64,18.263,14.746,2004.0,902.0,,,,,
51,19.29,21.964,16.466,2004.0,903.0,,,,,
52,21.126,24.824,17.32,2004.0,904.0,,,,,
53,16.484,18.108,14.712,2004.0,905.0,,,,,
54,19.132,21.56,16.53,2004.0,906.0,,,,,
55,19.046,21.447,16.665,2004.0,907.0,,,,,
56,20.645,23.832,17.516,2004.0,908.0,,,,,
57,19.534,22.627,16.46,2004.0,909.0,,,,,
58,16.765,18.542,14.68,2004.0,910.0,,,,,
59,16.93,18.901,14.658,2004.0,911.0,,,,,
60,17.126,19.039,14.974,2004.0,912.0,,,,,
61,24.701,30.745,18.641,2004.0,913.0,,,,,
62,19.809,22.804,16.637,2004.0,914.0,,,,,
63,15.025,16.252,13.56,2004.0,915.0,,,,,
64,16.576,18.087,14.835,2004.0,916.0,,,,,
65,17.768,19.94,15.329,2004.0,917.0,,,,,
66,20.915,25.061,16.671,2004.0,918.0,,,,,
67,22.875,28.208,17.401,2004.0,919.0,,,,,
68,15.783,17.145,14.128,2004.0,920.0,,,,,
69,18.158,20.7,15.356,2004.0,921.0,,,,,
70,19.355,22.477,15.953,2004.0,922.0,,,,,
71,20.923,24.809,16.814,2004.0,923.0,,,,,
72,18.948,21.503,16.137,2005.0,0.0,,,,,
73,28.638,35.904,21.011,2005.0,901.0,,,,,
74,17.074,18.703,15.179,2005.0,902.0,,,,,
75,19.799,22.52,16.91,2005.0,903.0,,,,,
76,21.767,25.133,18.307,2005.0,904.0,,,,,
77,16.873,18.436,15.143,2005.0,905.0,,,,,
78,19.714,22.184,17.087,2005.0,906.0,,,,,
79,19.778,22.475,17.133,2005.0,907.0,,,,,
80,21.842,25.497,18.304,2005.0,908.0,,,,,
81,20.203,23.577,16.877,2005.0,909.0,,,,,
82,17.074,18.812,15.034,2005.0,910.0,,,,,
83,17.367,19.343,15.075,2005.0,911.0,,,,,
84,17.357,19.145,15.331,2005.0,912.0,,,,,
85,25.382,31.628,19.132,2005.0,913.0,,,,,
86,20.234,23.196,17.118,2005.0,914.0,,,,,
87,15.376,16.622,13.891,2005.0,915.0,,,,,
88,17.03,18.523,15.302,2005.0,916.0,,,,,
89,18.26,20.538,15.729,2005.0,917.0,,,,,
90,21.63,25.617,17.546,2005.0,918.0,,,,,
91,23.232,28.546,17.81,2005.0,919.0,,,,,
92,16.023,17.369,14.403,2005.0,920.0,,,,,
93,18.547,21.146,15.691,2005.0,921.0,,,,,
94,19.804,22.962,16.389,2005.0,922.0,,,,,
95,21.544,25.498,17.38,2005.0,923.0,,,,,
96,19.29,21.902,16.431,2006.0,0.0,,,,,
97,29.234,36.957,21.16,2006.0,901.0,,,,,
98,17.458,19.051,15.597,2006.0,902.0,,,,,
99,20.21,23.088,17.189,2006.0,903.0,,,,,
100,22.35,25.922,18.674,2006.0,904.0,,,,,
101,17.295,18.976,15.437,2006.0,905.0,,,,,
102,20.273,22.768,17.686,2006.0,906.0,,,,,
103,20.885,24.12,17.737,2006.0,907.0,,,,,
104,22.329,26.086,18.679,2006.0,908.0,,,,,
105,20.748,24.163,17.393,2006.0,909.0,,,,,
106,17.257,18.984,15.22,2006.0,910.0,,,,,
107,17.646,19.658,15.313,2006.0,911.0,,,,,
108,17.446,19.188,15.485,2006.0,912.0,,,,,
109,26.23,32.744,19.809,2006.0,913.0,,,,,
110,20.51,23.36,17.514,2006.0,914.0,,,,,
111,15.527,16.713,14.125,2006.0,915.0,,,,,
112,17.17,18.734,15.374,2006.0,916.0,,,,,
113,18.411,20.699,15.872,2006.0,917.0,,,,,
114,22.139,26.614,17.706,2006.0,918.0,,,,,
115,23.716,29.184,18.192,2006.0,919.0,,,,,
116,16.339,17.723,14.676,2006.0,920.0,,,,,
117,18.815,21.377,16.021,2006.0,921.0,,,,,
118,20.296,23.591,16.746,2006.0,922.0,,,,,
119,21.734,25.798,17.495,2006.0,923.0,,,,,
120,19.769,22.498,16.826,2007.0,0.0,,,,,
121,31.095,40.019,21.791,2007.0,901.0,,,,,
122,18.008,19.917,15.832,2007.0,902.0,,,,,
123,20.908,23.979,17.742,2007.0,903.0,,,,,
124,23.221,27.092,19.34,2007.0,904.0,,,,,
125,17.682,19.416,15.796,2007.0,905.0,,,,,
126,21.037,23.751,18.211,2007.0,906.0,,,,,
127,21.191,24.355,18.205,2007.0,907.0,,,,,
128,22.698,26.717,18.842,2007.0,908.0,,,,,
129,21.359,25.027,17.786,2007.0,909.0,,,,,
130,17.454,19.251,15.37,2007.0,910.0,,,,,
131,17.984,20.05,15.597,2007.0,911.0,,,,,
132,17.926,19.705,15.933,2007.0,912.0,,,,,
133,26.946,33.693,20.356,2007.0,913.0,,,,,
134,20.966,24.002,17.806,2007.0,914.0,,,,,
135,15.8,16.995,14.413,2007.0,915.0,,,,,
136,17.612,19.144,15.903,2007.0,916.0,,,,,
137,18.879,21.219,16.345,2007.0,917.0,,,,,
138,23.28,28.603,18.107,2007.0,918.0,,,,,
139,24.683,30.39,18.941,2007.0,919.0,,,,,
140,16.65,17.982,15.086,2007.0,920.0,,,,,
141,19.212,21.753,16.473,2007.0,921.0,,,,,
142,20.599,23.915,17.092,2007.0,922.0,,,,,
143,22.379,26.6,18.046,2007.0,923.0,,,,,
144,20.206,22.966,17.244,2008.0,0.0,,,,,
145,31.213,38.87,23.253,2008.0,901.0,,,,,
146,18.481,20.406,16.286,2008.0,902.0,,,,,
147,21.41,24.565,18.171,2008.0,903.0,,,,,
148,23.552,27.51,19.557,2008.0,904.0,,,,,
149,18.203,19.792,16.462,2008.0,905.0,,,,,
150,21.462,24.269,18.572,2008.0,906.0,,,,,
151,21.804,25.086,18.703,2008.0,907.0,,,,,
152,22.995,27.092,19.155,2008.0,908.0,,,,,
153,21.702,25.39,18.147,2008.0,909.0,,,,,
154,17.891,19.717,15.777,2008.0,910.0,,,,,
155,18.387,20.534,15.932,2008.0,911.0,,,,,
156,18.312,20.19,16.209,2008.0,912.0,,,,,
157,27.141,33.79,20.709,2008.0,913.0,,,,,
158,21.424,24.47,18.306,2008.0,914.0,,,,,
159,16.157,17.383,14.754,2008.0,915.0,,,,,
160,18.027,19.657,16.213,2008.0,916.0,,,,,
161,19.463,21.954,16.748,2008.0,917.0,,,,,
162,23.592,28.593,18.763,2008.0,918.0,,,,,
163,25.329,31.232,19.349,2008.0,919.0,,,,,
164,17.035,18.418,15.427,2008.0,920.0,,,,,
165,19.578,22.173,16.789,2008.0,921.0,,,,,
166,21.222,24.632,17.636,2008.0,922.0,,,,,
167,22.899,27.182,18.542,2008.0,923.0,,,,,
168,20.802,23.461,17.964,2009.0,0.0,,,,,
169,32.264,40.505,23.665,2009.0,901.0,,,,,
170,19.023,20.7,17.125,2009.0,902.0,,,,,
171,22.075,25.329,18.795,2009.0,903.0,,,,,
172,24.303,28.139,20.444,2009.0,904.0,,,,,
173,18.81,20.443,17.027,2009.0,905.0,,,,,
174,21.954,24.614,19.203,2009.0,906.0,,,,,
175,22.7,25.665,19.874,2009.0,907.0,,,,,
176,23.676,27.475,20.037,2009.0,908.0,,,,,
177,22.448,25.874,19.15,2009.0,909.0,,,,,
178,18.342,20.036,16.398,2009.0,910.0,,,,,
179,18.877,20.837,16.631,2009.0,911.0,,,,,
180,18.857,20.607,16.917,2009.0,912.0,,,,,
181,27.988,34.561,21.612,2009.0,913.0,,,,,
182,22.079,25.113,19.0,2009.0,914.0,,,,,
183,16.68,17.88,15.327,2009.0,915.0,,,,,
184,18.615,20.112,16.947,2009.0,916.0,,,,,
185,20.297,23.015,17.41,2009.0,917.0,,,,,
186,23.927,28.553,19.457,2009.0,918.0,,,,,
187,25.828,31.525,20.106,2009.0,919.0,,,,,
188,17.652,19.014,16.089,2009.0,920.0,,,,,
189,20.266,22.749,17.605,2009.0,921.0,,,,,
190,21.782,25.094,18.31,2009.0,922.0,,,,,
191,23.408,27.464,19.273,2009.0,923.0,,,,,
192,20.685,23.26,17.961,2010.0,0.0,,,,,
193,33.419,42.167,24.31,2010.0,901.0,,,,,
194,18.998,20.655,17.136,2010.0,902.0,,,,,
195,22.166,25.291,19.009,2010.0,903.0,,,,,
196,24.069,28.164,20.038,2010.0,904.0,,,,,
197,18.659,20.231,16.954,2010.0,905.0,,,,,
198,22.083,24.979,19.145,2010.0,906.0,,,,,
199,22.694,25.755,19.758,2010.0,907.0,,,,,
200,23.247,26.591,20.061,2010.0,908.0,,,,,
201,22.324,25.517,19.225,2010.0,909.0,,,,,
202,18.186,19.828,16.298,2010.0,910.0,,,,,
203,18.78,20.685,16.63,2010.0,911.0,,,,,
204,18.695,20.333,16.884,2010.0,912.0,,,,,
205,27.656,33.933,21.695,2010.0,913.0,,,,,
206,21.692,24.483,18.889,2010.0,914.0,,,,,
207,16.571,17.676,15.323,2010.0,915.0,,,,,
208,18.55,19.979,16.979,2010.0,916.0,,,,,
209,19.845,22.272,17.272,2010.0,917.0,,,,,
210,24.232,29.104,19.574,2010.0,918.0,,,,,
211,25.539,31.191,19.902,2010.0,919.0,,,,,
212,17.455,18.722,15.993,2010.0,920.0,,,,,
213,20.218,22.707,17.613,2010.0,921.0,,,,,
214,21.934,25.203,18.591,2010.0,922.0,,,,,
215,23.242,27.229,19.273,2010.0,923.0,,,,,
216,20.594,23.085,17.951,2011.0,0.0,,,,,
217,34.333,42.585,25.605,2011.0,901.0,,,,,
218,18.838,20.437,17.047,2011.0,902.0,,,,,
219,22.054,25.152,18.898,2011.0,903.0,,,,,
220,23.672,27.557,19.862,2011.0,904.0,,,,,
221,18.532,20.023,16.928,2011.0,905.0,,,,,
222,21.989,24.772,19.168,2011.0,906.0,,,,,
223,22.659,25.823,19.663,2011.0,907.0,,,,,
224,23.262,26.869,19.829,2011.0,908.0,,,,,
