,year,district,rent
0,2012,1,19.63
1,2013,1,19.41
2,2014,1,19.45
3,2015,1,19.23
4,2016,1,19.18
5,2017,1,19.45
6,2018,1,20.34
7,2019,1,19.84
8,2020,1,20.1
9,2021,1,20.22
10,2022,1,22.39
11,2023,1,22.39
12,2024,1,23.06
13,2012,2,14.25
14,2013,2,14.62
15,2014,2,14.69
16,2015,2,14.92
17,2016,2,14.83
18,2017,2,15.37
19,2018,2,16.95
20,2019,2,16.18
21,2020,2,16.03
22,2021,2,15.51
23,2022,2,20.6
24,2023,2,18.35
25,2024,2,19.43
26,2012,3,14.41
27,2013,3,15.02
28,2014,3,14.5
29,2015,3,14.43
30,2016,3,15.16
31,2017,3,15.81
32,2018,3,16.19
33,2019,3,15.89
34,2020,3,16.84
35,2021,3,17.04
36,2022,3,18.29
37,2023,3,17.88
38,2024,3,18.24
39,2012,4,15.43
40,2013,4,15.19
41,2014,4,14.65
42,2015,4,15.18
43,2016,4,15.45
44,2017,4,15.8
45,2018,4,15.94
46,2019,4,16.14
47,2020,4,16.2
48,2021,4,16.15
49,2022,4,16.72
50,2023,4,17.46
51,2024,4,18.49
52,2012,5,14.7
53,2013,5,13.99
54,2014,5,14.34
55,2015,5,14.24
56,2016,5,14.61
57,2017,5,14.91
58,2018,5,16.07
59,2019,5,15.32
60,2020,5,15.29
61,2021,5,15.32
62,2022,5,15.72
63,2023,5,17.11
64,2024,5,19.17
65,2012,6,14.73
66,2013,6,15.31
67,2014,6,14.7
68,2015,6,14.9
69,2016,6,15.57
70,2017,6,16.02
71,2018,6,16.79
72,2019,6,16.21
73,2020,6,16.11
74,2021,6,16.61
75,2022,6,17.48
76,2023,6,18.57
77,2024,6,18.74
78,2012,7,14.02
79,2013,7,14.82
80,2014,7,15.01
81,2015,7,14.98
82,2016,7,15.08
83,2017,7,15.53
84,2018,7,16.23
85,2019,7,15.8
86,2020,7,15.82
87,2021,7,15.86
88,2022,7,17.51
89,2023,7,17.29
90,2024,7,18.63
91,2012,8,15.62
92,2013,8,15.07
93,2014,8,14.71
94,2015,8,14.63
95,2016,8,14.83
96,2017,8,15.01
97,2018,8,14.83
98,2019,8,15.25
99,2020,8,15.51
100,2021,8,15.67
101,2022,8,17.44
102,2023,8,17.52
103,2024,8,19.73
104,2012,9,14.32
105,2013,9,14.71
106,2014,9,14.97
107,2015,9,14.54
108,2016,9,15.04
109,2017,9,14.79
110,2018,9,15.95
111,2019,9,16.01
112,2020,9,16.21
113,2021,9,16.4
114,2022,9,18.57
115,2023,9,17.47
116,2024,9,18.61
117,2012,10,11.75
118,2013,10,11.82
119,2014,10,12.3
120,2015,10,12.87
121,2016,10,12.78
122,2017,10,13.79
123,2018,10,15.47
124,2019,10,14.61
125,2020,10,15.12
126,2021,10,15.6
127,2022,10,16.26
128,2023,10,16.31
129,2024,10,19.3
130,2012,11,10.68
131,2013,11,10.96
132,2014,11,11.68
133,2015,11,12.2
134,2016,11,12.12
135,2017,11,12.53
136,2018,11,13.18
137,2019,11,13.82
138,2020,11,13.47
139,2021,11,15.61
140,2022,11,16.76
141,2023,11,16.95
142,2024,11,17.52
143,2012,12,12.97
144,2013,12,13.31
145,2014,12,13.28
146,2015,12,12.88
147,2016,12,13.54
148,2017,12,13.91
